fixture_id,date,timestamp,timezone,referee,status_short,status_long,elapsed_time,league_id,league_name,country,season,round,home_team_id,home_team_name,home_team_winner,away_team_id,away_team_name,away_team_winner,goals_home,goals_away,score_ht_home,score_ht_away,score_ft_home,score_ft_away,score_et_home,score_et_away,score_pen_home,score_pen_away,venue_name,venue_city
1485981,2025-11-12T19:00:00+00:00,1762974000,UTC,,FT,Match Finished,90,964,Copa de la División Profesional,Bolivia,2025,Round of 16,17760,San Antonio Bulo Bulo,True,3700,Always Ready,False,2,1,1,0,2,1,,,,,Estadio Dr. Carlos Villegas,Entre Rios
1431618,2025-11-12T19:30:00+00:00,1762975800,UTC,,FT,Match Finished,90,435,Primera División RFEF - Group 1,Spain,2025,Group 1 - 11,9418,Zamora,,9612,Ourense CF,,0,0,0,0,0,0,,,,,Estadio Ruta de la Plata,Zamora
1444149,2025-11-12T19:30:00+00:00,1762975800,UTC,,FT,Match Finished,90,57,Non League Div One - Isthmian South East,England,2025,Isthmian South East - 17,7249,Sevenoaks Town,False,7206,Ashford United,True,1,2,1,0,1,2,,,,,The Bourne Stadium,"Sevenoaks, Kent"
1435284,2025-11-12T19:30:09+00:00,1762975809,UTC,,NS,Not Started,,56,Non League Div One - Southern South,England,2025,Southern South - 16,7263,Willand Rovers,,8870,Malvern Town,,,,,,,,,,,,The Stan Robinson Stadium,"Willand, Devon"
1482363,2025-11-12T19:35:00+00:00,1762976100,UTC,,FT,Match Finished,90,1191,UEFA Europa Cup - Women,World,2025,Round of 16,10892,Glasgow City W,,20511,Sporting CP W,,1,1,1,0,1,1,,,,,Petershill Park,Glasgow
1442743,2025-11-12T19:45:00+00:00,1762976700,UTC,,FT,Match Finished,90,53,Non League Div One - Isthmian South Central,England,2025,Isthmian South Central - 17,8941,Southall,,8811,Hanworth Villa,,0,0,0,0,0,0,,,,,The Robert Parker Stadium,"Stanwell, Surrey"
1443205,2025-11-12T19:45:00+00:00,1762976700,UTC,,FT,Match Finished,90,52,Non League Div One - Isthmian North,England,2025,Isthmian North - 17,7228,Grays Athletic,False,8908,Redbridge,True,0,2,0,0,0,2,,,,,The EMR Stadium,"Tilbury, Essex"
1443206,2025-11-12T19:45:00+00:00,1762976700,UTC,,FT,Match Finished,90,52,Non League Div One - Isthmian North,England,2025,Isthmian North - 17,21703,Downham Town,,9011,Wroxham,,1,1,1,1,1,1,,,,,Memorial Field,"Downham Market, Norfolk"
1434902,2025-11-12T19:45:03+00:00,1762976703,UTC,,FT,Match Finished,90,933,Non League Div One - Southern Central,England,2025,Southern Central - 16,7208,Aylesbury United,,7679,Welwyn Garden City,,2,2,0,1,2,2,,,,,The Meadow,"Chesham, Buckinghamshire"
1435285,2025-11-12T19:45:09+00:00,1762976709,UTC,,FT,Match Finished,90,56,Non League Div One - Southern South,England,2025,Southern South - 16,7238,Larkhall Athletic,False,7682,Winchester City,True,1,2,1,0,1,2,,,,,The Plain Ham Ground,"Bath, Somerset"
1379804,2025-11-12T20:00:00+00:00,1762977600,UTC,,FT,Match Finished,90,730,Football League - Highland League,Scotland,2025,Highland League - 19,7454,Wick Academy,False,7435,Clachnacuddin,True,2,3,1,1,2,3,,,,,Harmsworth Park,Wick
1472403,2025-11-12T20:00:00+00:00,1762977600,UTC,"Ewa Augustyn, Poland",FT,Match Finished,90,525,UEFA Champions League Women,World,2025,League Stage - 3,1910,Atletico Madrid W,False,1886,Juventus W,True,1,2,1,1,1,2,,,,,Centro Deportivo Wanda Alcalá de Henares,Madrid
1472404,2025-11-12T20:00:00+00:00,1762977600,UTC,"Stephanie Frappart, France",FT,Match Finished,90,525,UEFA Champions League Women,World,2025,League Stage - 3,15495,SL Benfica,,1899,Twente W,,1,1,0,0,1,1,,,,,Estádio da Luz,Lisbon
1476022,2025-11-12T20:00:00+00:00,1762977600,UTC,"Katalin Kulcsar, Hungary",FT,Match Finished,90,525,UEFA Champions League Women,World,2025,League Stage - 3,4898,Manchester United W,True,1667,Paris Saint Germain W,False,2,1,1,1,2,1,,,,,Old Trafford,Manchester
1485621,2025-11-12T20:00:00+00:00,1762977600,UTC,,FT,Match Finished,90,617,Copa do Brasil U20,Brazil,2025,Quarter-finals,13033,Novorizontino U20,,18335,IAPE U20,,1,1,1,0,1,1,,,,,,
1486171,2025-11-12T20:00:00+00:00,1762977600,UTC,,FT,Match Finished,90,1207,CONCACAF Series,World,2026,1st Round,5531,Dominica,False,10984,Saint Martin,True,1,2,0,0,1,2,,,,,SKNFA technical centre,Basseterre
1486172,2025-11-12T20:00:00+00:00,1762977600,UTC,,FT,Match Finished,90,1207,CONCACAF Series,World,2026,1st Round,5527,Barbados,True,10982,Bonaire,False,3,2,3,0,3,2,,,,,Sir Vivian Richards Stadium,
1485623,2025-11-12T20:30:00+00:00,1762979400,UTC,,FT,Match Finished,90,617,Copa do Brasil U20,Brazil,2025,Quarter-finals,13009,Fortaleza U20,False,12973,São Paulo U20,True,0,2,0,1,0,2,,,,,,
1390721,2025-11-12T21:00:00+00:00,1762981200,UTC,,FT,Match Finished,90,339,Liga Nacional,Guatemala,2025,Apertura - 13,3636,Achuapa,,3643,Marquense,,0,0,0,0,0,0,,,,,Estadio Winston Pineda,Jutiapa
1480649,2025-11-12T21:00:00+00:00,1762981200,UTC,"Carlos Ortega, Colombia",FT,Match Finished,90,239,Primera A,Colombia,2025,Clausura - 20,1134,La Equidad,True,1462,Deportivo Pereira,False,4,0,2,0,4,0,,,,,Estadio Metropolitano de Techo,Bogota
1485799,2025-11-12T21:00:00+00:00,1762981200,UTC,,FT,Match Finished,90,1114,Carioca U20,Brazil,2025,Final,22831,Bangu U20,True,13074,Volta Redonda U20,False,2,0,0,0,2,0,,,,,,
1486173,2025-11-12T21:00:00+00:00,1762981200,UTC,,FT,Match Finished,90,1207,CONCACAF Series,World,2026,1st Round,2388,Cuba,True,5540,St. Lucia,False,3,0,2,0,3,0,,,,,Estadio Cibao FC,Santiago
1486174,2025-11-12T21:30:00+00:00,1762983000,UTC,,FT,Match Finished,90,1207,CONCACAF Series,World,2026,1st Round,5157,Bahamas,False,8150,Anguilla,True,1,2,0,1,1,2,,,,,Truman Bodden Stadium,George Town
1485215,2025-11-12T22:00:00+00:00,1762984800,UTC,,FT,Match Finished,90,906,Reserve League,Argentina,2025,Round of 16,18681,Boca Juniors Res.,True,18690,Lanús Res.,False,1,0,1,0,1,0,,,,,,
1485982,2025-11-12T22:00:00+00:00,1762984800,UTC,,FT,Match Finished,90,964,Copa de la División Profesional,Bolivia,2025,Round of 16,3706,Nacional Potosí,True,3707,Oriente Petrolero,False,3,1,1,1,3,1,,,,,,
1486087,2025-11-12T22:30:00+00:00,1762986600,UTC,,FT,Match Finished,90,1158,Copa Gaúcha,Brazil,2025,Quarter-finals,7767,Aimoré,True,10042,Esportivo,False,1,0,0,0,1,0,,,,,,
1486175,2025-11-12T23:00:00+00:00,1762988400,UTC,,FT,Match Finished,90,1207,CONCACAF Series,World,2026,1st Round,5536,St. Kitts and Nevis,,10985,Sint Maarten,,0,0,0,0,0,0,,,,,SKNFA technical centre,Basseterre
1486176,2025-11-12T23:00:00+00:00,1762988400,UTC,,FT,Match Finished,90,1207,CONCACAF Series,World,2026,1st Round,5526,Antigua and Barbuda,,8167,Aruba,,0,0,0,0,0,0,,,,,Sir Vivian Richards Stadium,
1485255,2025-11-12T23:10:00+00:00,1762989000,UTC,,FT,Match Finished,90,240,Primera B,Colombia,2025,Clausura - Quadrangular - 3,1459,Real Cartagena,,22099,Real Soacha,,0,0,0,0,0,0,,,,,,Cartagena
1351198,2025-11-12T23:30:00+00:00,1762990200,UTC,"Savio Pereira Sampaio, Brazil",FT,Match Finished,90,71,Serie A,Brazil,2025,Regular Season - 16,1062,Atletico-MG,,154,Fortaleza EC,,3,3,2,0,3,3,,,,,Arena MRV,Belo Horizonte
